# Energy_eV TotalXS_barn
1.000000000000000021e-03 1.127376530748467554e+00
1.006938631476027041e-03 1.125890743997759014e+00
1.013925407558815411e-03 1.124497563369223130e+00
1.020960662306046604e-03 1.123094717541140541e+00
1.028044732093309679e-03 1.121682139471968931e+00
1.035177955630176309e-03 1.120259761655290731e+00
1.042360673976401152e-03 1.118827516116589038e+00
1.049593230558227598e-03 1.117385334410006203e+00
1.056875971184803890e-03 1.115994170032741373e+00
1.064209244064724582e-03 1.114640965027152042e+00
1.071593399822671090e-03 1.113278372356591550e+00
1.079028791516183647e-03 1.111906326907418308e+00
1.086515774652538433e-03 1.110524763114519864e+00
1.094054707205742438e-03 1.109133614958187852e+00
1.101645949633656921e-03 1.107738129901419288e+00
1.109289864895222780e-03 1.106433762057593695e+00
1.116986818467822530e-03 1.105120345560342443e+00
1.124737178364752007e-03 1.103797817650349788e+00
1.132541315152811546e-03 1.102466115133195146e+00
1.140399601970033122e-03 1.101125174376338389e+00
1.148312414543511137e-03 1.099774931306084724e+00
1.156280131207375458e-03 1.098470927015719578e+00
1.164303132920876775e-03 1.097205810961172645e+00
1.172381803286598597e-03 1.095931918796294369e+00
1.180516528568805639e-03 1.094649189655460653e+00
1.188707697711903228e-03 1.093357562251116688e+00
1.196955702359042868e-03 1.092056974870856623e+00
1.205260936870842505e-03 1.090749373343215645e+00
1.213623798344240588e-03 1.089509496237266006e+00
1.222044686631488684e-03 1.088261018322198570e+00
1.230524004359261634e-03 1.087003879951188523e+00
1.239062156947915577e-03 1.085738021063971104e+00
1.247659552630869806e-03 1.084463381183979447e+00
1.256316602474120232e-03 1.083179899415463332e+00
1.265033720395903781e-03 1.081949138372254149e+00
1.273811323186478574e-03 1.080768489570330670e+00
1.282649830528059809e-03 1.079579651148999453e+00
1.291549665014883998e-03 1.078382566317651392e+00
1.300511252173408528e-03 1.077177177892099103e+00
1.309535020482667771e-03 1.075963428291853319e+00
1.318621401394748458e-03 1.074741344644957186e+00
1.327770829355428986e-03 1.073606620234142994e+00
1.336983741824946661e-03 1.072464025068392779e+00
1.346260579298909571e-03 1.071313504572505293e+00
1.355601785329368925e-03 1.070155003793111348e+00
1.365007806546013683e-03 1.068988467396060349e+00
1.374479092677536717e-03 1.067813839663782627e+00
1.384016096573131502e-03 1.066676847354931734e+00
1.393619274224142113e-03 1.065580063241587272e+00
1.403289084785873256e-03 1.064475671897490594e+00
1.413025990599533653e-03 1.063363620579664381e+00
1.422830457214352027e-03 1.062243856179729828e+00
1.432702953409831009e-03 1.061116325221377110e+00
1.442643951218157373e-03 1.059980973857823194e+00
1.452653925946781202e-03 1.058926747973590432e+00
1.462733356201129922e-03 1.057867386468724025e+00
1.472882723907501879e-03 1.056800677692426138e+00
1.483102514336104337e-03 1.055726570709580869e+00
1.493393216124251719e-03 1.054645014232271416e+00
1.503755321299738400e-03 1.053555956617339584e+00
1.514189325304352018e-03 1.052500493256443903e+00
1.524695727017574571e-03 1.051485430734867110e+00
1.535275028780422714e-03 1.050463328594984258e+00
1.545927736419476940e-03 1.049434138040210795e+00
1.556654359271062099e-03 1.048397809936050695e+00
1.567455410205594903e-03 1.047354294807762765e+00
1.578331405652118108e-03 1.046303542838006972e+00
1.589282865622978049e-03 1.045328235775083936e+00
1.600310313738700137e-03 1.044350393446083380e+00
1.611414277253019837e-03 1.043365770111515323e+00
1.622595287078087110e-03 1.042374318774106579e+00
1.633853877809862123e-03 1.041375992111224003e+00
1.645190587753662514e-03 1.040370742472628951e+00
1.656605958949913414e-03 1.039395665098717059e+00
1.668100537200059227e-03 1.038461417586901137e+00
1.679674872092653225e-03 1.037520691890909230e+00
1.691329517029648791e-03 1.036573443119213289e+00
1.703065029252844422e-03 1.035619626069601118e+00
1.714881969870539046e-03 1.034659195227030315e+00
1.726780903884356060e-03 1.033692104761467556e+00
1.738762400216250364e-03 1.032795009995621793e+00
1.750827031735725098e-03 1.031897768714399533e+00
1.762975375287205784e-03 1.030994306446230802e+00
1.775208011717634149e-03 1.030084580090021129e+00
1.787525525904235402e-03 1.029168546246495231e+00
1.799928506782476562e-03 1.028246161216137544e+00
