# Start time:    2026-06-11, 11:27:11
# Real time (s): 1200.000
# Live time (s): 1200.000
# Reactor power (MW): 1.000000
# Number of channels: 2048
# Channel width (usec): 2.000000
# Dead time (usec): 26.000000
# Number of frames: 158686
# Path length (cm): 192.000000
#
# Total counts:  2579558
# Chan. numb.	Numb. of counts
#-----------------------------------------------------------------------
1	0
2	0
3	962
4	1109
5	1055
6	1006
7	1054
8	1001
9	1044
10	995
11	999
12	1030
13	994
14	1029
15	1033
16	1022
17	1014
18	1019
19	1020
20	1013
21	1065
22	1069
23	997
24	996
25	1045
26	1120
27	996
28	1023
29	1008
30	1110
31	986
32	1021
33	970
34	1038
35	986
36	1025
37	1033
38	1020
39	1003
40	1063
41	1021
42	1061
43	1064
44	1025
45	986
46	1034
47	1023
48	1043
49	1015
50	1035
51	1066
52	1044
53	1043
54	1042
55	1021
56	1011
57	1012
58	1058
59	957
60	994
61	1056
62	1061
63	1047
64	1054
65	1006
66	968
67	981
68	1078
69	1003
70	1021
71	1002
72	1032
73	1052
74	1016
75	1041
76	982
77	1010
78	1067
79	1050
80	1069
81	1090
82	1036
83	1019
84	1059
85	1061
86	1029
87	1020
88	1088
89	1056
90	1064
91	1090
92	1042
93	1053
94	1108
95	1082
96	1012
97	1042
98	992
99	1034
100	1049
101	1032
102	1050
103	1038
104	1027
105	1005
106	1105
107	1018
108	1079
109	1050
110	1054
111	1086
112	1039
113	1073
114	1006
115	1088
116	1071
117	1018
118	1075
119	1097
120	1025
121	1069
122	1051
123	1041
124	1067
125	1065
126	1018
127	1134
128	1064
129	1097
130	1048
131	1081
132	1140
133	1141
134	1118
135	1061
136	1015
137	1115
138	1084
139	1041
140	1091
141	1120
142	1139
143	1130
144	1096
145	1082
146	1093
147	1147
148	1107
149	1124
150	1172
151	1176
152	1156
153	1114
154	1140
155	1113
156	1070
157	1138
158	1185
159	1188
160	1192
161	1196
162	1169
163	1189
164	1135
165	1211
166	1154
167	1211
168	1183
169	1158
170	1267
171	1242
172	1208
173	1237
174	1208
175	1319
176	1247
177	1266
178	1263
179	1219
180	1265
181	1251
182	1320
183	1337
184	1265
185	1303
186	1284
187	1313
188	1310
189	1403
190	1365
191	1330
192	1332
193	1417
194	1389
