Time_of_Flight_(µs),Corrected_Flux,Corrected_Flux_Uncertainty
-5.000000000000000000e+00,1.234800000000000000e+04,1.111215550647120835e+02
-3.000000000000000000e+00,1.230000000000000000e+04,1.109053650640944397e+02
-1.000000000000000666e+00,1.250600000000000000e+04,1.118302284715537098e+02
1.000000000000000666e+00,1.249800000000000000e+04,1.117944542452805763e+02
3.000000000000000000e+00,1.238700000000000000e+04,1.112969002263762377e+02
5.000000000000000000e+00,1.246100000000000000e+04,1.116288493177271448e+02
7.000000000000000888e+00,1.243200000000000000e+04,1.114988789181315951e+02
8.999999999999998224e+00,1.252600000000000000e+04,1.119196140093408758e+02
1.100000000000000000e+01,1.248100000000000000e+04,1.117183959784597391e+02
1.300000000000000178e+01,1.242900000000000000e+04,1.114854250563730602e+02
1.499999999999999822e+01,1.256100000000000000e+04,1.120758671614894411e+02
1.700000000000000000e+01,1.241900000000000000e+04,1.114405671198783239e+02
1.899999999999999645e+01,1.250600000000000000e+04,1.118302284715537098e+02
2.100000000000000000e+01,1.249800000000000000e+04,1.117944542452805763e+02
2.300000000000000000e+01,1.241900000000000000e+04,1.114405671198783239e+02
2.500000000000000000e+01,1.243700000000000000e+04,1.115212984142490313e+02
2.699999999999999645e+01,1.252000000000000000e+04,1.118928058455949213e+02
2.899999999999999645e+01,1.243500000000000000e+04,1.115123311566931079e+02
3.099999999999999289e+01,1.240100000000000000e+04,1.113597772986286145e+02
3.300000000000000000e+01,1.232600000000000000e+04,1.110225202380133851e+02
3.500000000000000000e+01,1.233700000000000000e+04,1.110720486891277687e+02
3.700000000000000711e+01,1.245700000000000000e+04,1.116109313642700727e+02
3.900000000000000000e+01,1.231100000000000000e+04,1.109549458113524452e+02
4.099999999999999289e+01,1.246400000000000000e+04,1.116422858956229902e+02
4.300000000000000000e+01,1.257900000000000000e+04,1.121561411604379828e+02
4.499999999999999289e+01,1.268600000000000000e+04,1.126321446124511567e+02
4.700000000000000711e+01,1.228200000000000000e+04,1.108241850861086277e+02
4.900000000000000000e+01,1.249500000000000000e+04,1.117810359586983395e+02
5.100000000000000711e+01,1.227400000000000000e+04,1.107880860020613909e+02
5.300000000000000000e+01,1.229000000000000000e+04,1.108602724153242889e+02
5.499999999999999289e+01,1.237700000000000000e+04,1.112519662747581606e+02
5.700000000000000000e+01,1.253000000000000000e+04,1.119374825516460987e+02
5.900000000000000000e+01,1.243200000000000000e+04,1.114988789181315951e+02
6.100000000000000711e+01,1.233700000000000000e+04,1.110720486891277687e+02
6.300000000000000000e+01,1.258600000000000000e+04,1.121873433146538446e+02
6.500000000000000000e+01,1.255400000000000000e+04,1.120446339634345350e+02
6.700000000000000000e+01,1.245400000000000000e+04,1.115974910112236103e+02
6.900000000000000000e+01,1.226400000000000000e+04,1.107429455992569274e+02
7.100000000000000000e+01,1.253300000000000000e+04,1.119508820867431496e+02
7.300000000000000000e+01,1.248100000000000000e+04,1.117183959784597391e+02
7.500000000000000000e+01,1.244900000000000000e+04,1.115750868249724590e+02
7.700000000000000000e+01,1.247900000000000000e+04,1.117094445425282174e+02
7.900000000000000000e+01,1.239900000000000000e+04,1.113507970335194841e+02
8.100000000000000000e+01,1.253600000000000000e+04,1.119642800182264182e+02
8.300000000000000000e+01,1.242400000000000000e+04,1.114629983447430277e+02
8.500000000000000000e+01,1.275000000000000000e+04,1.129158979063613515e+02
8.700000000000000000e+01,1.247900000000000000e+04,1.117094445425282174e+02
8.900000000000000000e+01,1.263200000000000000e+04,1.123921705458160432e+02
9.100000000000000000e+01,1.253500000000000000e+04,1.119598142192098749e+02
9.300000000000000000e+01,1.252500000000000000e+04,1.119151464279966603e+02
9.500000000000000000e+01,1.254400000000000000e+04,1.120000000000000000e+02
9.700000000000000000e+01,1.244300000000000000e+04,1.115481958616983320e+02
9.900000000000000000e+01,1.237200000000000000e+04,1.112294924918751349e+02
1.010000000000000000e+02,1.254800000000000000e+04,1.120178557195231406e+02
1.030000000000000000e+02,1.243300000000000000e+04,1.115033631779770076e+02
1.050000000000000000e+02,1.231100000000000000e+04,1.109549458113524452e+02
1.070000000000000000e+02,1.233400000000000000e+04,1.110585431202835025e+02
1.090000000000000000e+02,1.242000000000000000e+04,1.114450537260399869e+02
1.110000000000000000e+02,1.254600000000000000e+04,1.120089282155677211e+02
1.130000000000000142e+02,1.233400000000000000e+04,1.110585431202835025e+02
1.150000000000000000e+02,1.253500000000000000e+04,1.119598142192098749e+02
1.170000000000000000e+02,1.240800000000000000e+04,1.113912025251538580e+02
1.189999999999999858e+02,1.243800000000000000e+04,1.115257817726469511e+02
1.209999999999999858e+02,1.262200000000000000e+04,1.123476746532833204e+02
1.230000000000000142e+02,1.242600000000000000e+04,1.114719695708299696e+02
1.250000000000000000e+02,1.240700000000000000e+04,1.113867137498909869e+02
1.270000000000000000e+02,1.239700000000000000e+04,1.113418160441087821e+02
1.290000000000000000e+02,1.259700000000000000e+04,1.122363577456071653e+02
1.310000000000000000e+02,1.244000000000000000e+04,1.115347479487900273e+02
1.330000000000000000e+02,1.239200000000000000e+04,1.113193604006064561e+02
1.350000000000000000e+02,1.257400000000000000e+04,1.121338485917603975e+02
1.370000000000000000e+02,1.262900000000000000e+04,1.123788236279415287e+02
1.390000000000000000e+02,1.246000000000000000e+04,1.116243700990071375e+02
1.409999999999999716e+02,1.247100000000000000e+04,1.116736316235837876e+02
1.430000000000000000e+02,1.252700000000000000e+04,1.119240814123568271e+02
1.450000000000000000e+02,1.236500000000000000e+04,1.111980215651346953e+02
1.470000000000000000e+02,1.249800000000000000e+04,1.117944542452805763e+02
1.490000000000000000e+02,1.260000000000000000e+04,1.122497216032188589e+02
1.509999999999999716e+02,1.249300000000000000e+04,1.117720895393831597e+02
1.530000000000000000e+02,1.257300000000000000e+04,1.121293895461840293e+02
1.550000000000000000e+02,1.247000000000000000e+04,1.116691542011485581e+02
1.570000000000000000e+02,1.249600000000000000e+04,1.117855088998567226e+02
1.590000000000000000e+02,1.242700000000000000e+04,1.114764549131341482e+02
1.609999999999999716e+02,1.254500000000000000e+04,1.120044641967451753e+02
1.630000000000000000e+02,1.243300000000000000e+04,1.115033631779770076e+02
1.650000000000000000e+02,1.239500000000000000e+04,1.113328343302182475e+02
1.670000000000000000e+02,1.260600000000000000e+04,1.122764445464854361e+02
1.690000000000000000e+02,1.260300000000000000e+04,1.122630838699878950e+02
1.709999999999999716e+02,1.265800000000000000e+04,1.125077775089357601e+02
1.730000000000000000e+02,1.259200000000000000e+04,1.122140811128447240e+02
1.750000000000000000e+02,1.255000000000000000e+04,1.120267825120408816e+02
1.770000000000000000e+02,1.271100000000000000e+04,1.127430707405110297e+02
1.790000000000000000e+02,1.247200000000000000e+04,1.116781088665102288e+02
1.810000000000000000e+02,1.266700000000000000e+04,1.125477676366790547e+02
1.830000000000000000e+02,1.245700000000000000e+04,1.116109313642700727e+02
1.850000000000000000e+02,1.261900000000000000e+04,1.123343224486616236e+02
1.870000000000000000e+02,1.247800000000000000e+04,1.117049685555666656e+02
1.890000000000000000e+02,1.257100000000000000e+04,1.121204709230205481e+02
1.910000000000000000e+02,1.268100000000000000e+04,1.126099462747406506e+02
1.930000000000000000e+02,1.269200000000000000e+04,1.126587768440604123e+02
1.950000000000000000e+02,1.274400000000000000e+04,1.128893263333611685e+02
1.970000000000000000e+02,1.264900000000000000e+04,1.124677731619158294e+02
1.989999999999999716e+02,1.279100000000000000e+04,1.130973032392903406e+02
2.010000000000000000e+02,1.254600000000000000e+04,1.120089282155677211e+02
2.030000000000000000e+02,1.285400000000000000e+04,1.133754823584004043e+02
2.050000000000000000e+02,1.258200000000000000e+04,1.121695145750400116e+02
2.070000000000000000e+02,1.279500000000000000e+04,1.131149857445961970e+02
2.089999999999999716e+02,1.272200000000000000e+04,1.127918436767486128e+02
2.110000000000000000e+02,1.282200000000000000e+04,1.132342704308193788e+02
2.130000000000000000e+02,1.265800000000000000e+04,1.125077775089357601e+02
2.150000000000000000e+02,1.286100000000000000e+04,1.134063490286152955e+02
2.170000000000000000e+02,1.273900000000000000e+04,1.128671785772985459e+02
2.189999999999999716e+02,1.294100000000000000e+04,1.137585161647257337e+02
2.210000000000000000e+02,1.287600000000000000e+04,1.134724636200335226e+02
2.230000000000000000e+02,1.294800000000000000e+04,1.137892789325960621e+02
2.250000000000000000e+02,1.273600000000000000e+04,1.128538878373274201e+02
2.270000000000000000e+02,1.269100000000000000e+04,1.126543385760178353e+02
2.289999999999999716e+02,1.307100000000000000e+04,1.143284741435836622e+02
